Centre ID,Centre Name,Category,State,Trade Areas,Learners,Status
1,02 INNOVATION LAB,Skill Training Center (STC),Nasarawa,3,0,Active
2,1014251,Skill Training Center (STC),Lagos,2,0,Active
3,123 MULTI SYNERGY LTD,Skill Training Center (STC),Niger,1,0,Active
4,21stitches Nigeria LTD,Skill Training Center (STC),Kaduna,1,0,Active
5,24Dots Media Limited,Skill Training Center (STC),Kaduna,2,0,Active
6,A.A DOGA GLOBAL TECH LTD,Master Craft Person (MCP),Kogi,1,0,Active
7,ABG CNG CONVERSION AND EQUIPMENT COMPANY LIMITED,Skill Training Center (STC),FCT,1,0,Active
8,A.B TECH Multysystem Ltd.,Skill Training Center (STC),Katsina,1,0,Active
9,ABUAFFAAN ELECTRICAL INSTALLATION & MAINTENANCE,Vocational Enterprise Institute (VEI),Niger,1,0,Active
10,ABULFATAHY VENTURES KAURA,Master Craft Person (MCP),Kaduna,1,0,Active
11,ACE AGROVET CONSULTS,Master Craft Person (MCP),Akwa Ibom,1,0,Active
12,ADEAYWORLD ENERGY LIMITED,Skill Training Center (STC),Oyo,1,0,Active
13,Adebright & Best Global Concept,Skill Training Center (STC),Osun,2,0,Active
14,Adetiloye Tope Enoch,Master Craft Person (MCP),Osun,1,0,Active
15,Adetunji Bosede Theresa,Master Craft Person (MCP),Ekiti,1,0,Active
16,ADIK DALLAS ENGINEERING WORKSHOP,Skill Training Center (STC),Imo,5,0,Active
17,Adin Kai Skills Development Nig Ltd,Vocational Enterprise Institute (VEI),Niger,2,0,Active
18,Aerovessel School of Artisans & Business Management,Vocational Enterprise Institute (VEI),Ogun,10,0,Active
19,Aerovessel School of Aviation & Tourism Management,Skill Training Center (STC),Lagos,2,0,Active
20,AFOLABI  KEMISOLA,Master Craft Person (MCP),Ekiti,1,0,Active
21,African Cobblers,Skill Training Center (STC),Abia,1,0,Active
22,Agas multi business,Skill Training Center (STC),Kano,1,0,Active
23,AH-TAURA ENTERPRISES,Skill Training Center (STC),Jigawa,1,0,Active
24,Aisha Abubakar/Flair Academy Ltd,Skill Training Center (STC),Nasarawa,2,0,Active
25,AJAYI ENTERPRENEURSHIP & INNOVATION POLYTECHNIC LTD,Vocational Enterprise Institute (VEI),Ekiti,13,0,Active
26,AJIYA INTER-LINKS,Skill Training Center (STC),Niger,4,0,Active
